group,granularity,payload,packets,jitter_ns,loss,skew_ns,single_path,key_window,seek_cap,replay_window,seed,warmup,ppf,spacing_ns,delivered,lost_packets,lost_a,lost_b,wins_a,wins_b,duplicates_dropped,reordered,lateness_p50,lateness_p99,lateness_p999,lateness_max,gaps,max_gap,decrypted,drops_behind,drops_seek_cap,drops_replay,drops_auth,cache_hits,installs,catchup_steps,max_catchup,keying_loss,undecrypted_rate,wire_len,measured_calls,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,gbps,warmup_calls,warmup_mean_ns,advance_n,advance_mean_ns,current_n,current_mean_ns,straggler_n,straggler_mean_ns
payload,epoch,512,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,10125,1646.0905349794239,1000000,0,11,10,999989,11,999979,766778,9,26,29,112,192672,19,1000000,0,0,0,0,999999,1,1,1,0,0,540,950000,204.69545684210527,208,250,334,15333,21.104523112754247,50000,206.4238,0,,950000,204.69545684210527,0,
payload,epoch,800,1000000,0,0,0,true,512,4096,512,1,50000,6480,2572.01646090535,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,828,950000,249.22299368421054,250,292,375,19875,26.578606981959474,50000,248.86894,0,,950000,249.22299368421054,0,
payload,epoch,800,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,6480,2572.01646090535,1000000,0,11,10,999989,11,999979,707145,5,17,18,71,226468,16,1000000,0,0,0,0,999999,1,1,1,0,0,828,950000,235.00899263157893,250,292,375,13166,28.18615545654618,50000,237.13468,0,,950000,235.00899263157893,0,
payload,epoch,1024,1000000,0,0,0,true,512,4096,512,1,50000,5062,3292.5062557618858,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,1052,950000,272.82797578947367,291,334,417,13333,30.84727647759321,50000,271.64202,0,,950000,272.82797578947367,0,
payload,epoch,1024,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,5062,3292.5062557618858,1000000,0,11,10,999989,11,999979,667459,3,13,14,54,244953,13,1000000,0,0,0,0,999999,1,1,1,0,0,1052,950000,261.5920410526316,250,333,375,18291,32.17223263419824,50000,264.36874,0,,950000,261.5920410526316,0,
payload,epoch,1200,1000000,0,0,0,true,512,4096,512,1,50000,4320,3858.0246913580245,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,1228,950000,288.57514421052633,292,334,417,13083,34.043126017925594,50000,289.5691,0,,950000,288.57514421052633,0,
payload,epoch,1200,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,4320,3858.0246913580245,1000000,0,11,10,999989,11,999979,639076,2,11,12,49,256263,11,1000000,0,0,0,0,999999,1,1,1,0,0,1228,950000,278.586787368421,291,334,417,13250,35.26369679193763,50000,281.31328,0,,950000,278.586787368421,0,
payload,epoch,1424,1000000,0,0,0,true,512,4096,512,1,50000,3640,4578.754578754579,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,1452,950000,313.34134842105266,292,375,459,16583,37.071392136830255,50000,315.11244,0,,950000,313.34134842105266,0,
payload,epoch,1424,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,3640,4578.754578754579,1000000,0,11,10,999989,11,999979,605713,2,9,10,41,267239,9,1000000,0,0,0,0,999999,1,1,1,0,0,1452,950000,303.72002,292,375,458,8625,38.24575014844264,50000,303.9792,0,,950000,303.72002,0,
payload,epoch,2048,1000000,0,0,0,true,512,4096,512,1,50000,2531,6585.0125115237715,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,2076,950000,388.3336589473684,375,500,917,2034417,42.7673461142108,50000,399.28856,0,,950000,388.3336589473684,0,
payload,epoch,2048,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,2531,6585.0125115237715,1000000,0,11,10,999989,11,999979,523640,1,6,7,27,282712,7,1000000,0,0,0,0,999999,1,1,1,0,0,2076,950000,375.14759263157896,375,458,542,19333,44.27057597117573,50000,383.758,0,,950000,375.14759263157896,0,
payload,epoch,4096,1000000,0,0,0,true,512,4096,512,1,50000,1265,13175.230566534914,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,4124,950000,591.4409842105263,583,666,834,36083,55.78240412953245,50000,591.55584,0,,950000,591.4409842105263,0,
